
2025-10-28 15:49:34,060 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.47秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:50:25,425 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.88秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:51:14,496 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.57秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:51:58,460 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.45秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:52:47,320 - 视频名称: Neutral_3.mp4, 播放时长: 32.37秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:53:36,340 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 32.49秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:54:24,425 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.46秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:55:13,979 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.08秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:56:02,558 - 视频名称: Neutral_5.mp4, 播放时长: 32.08秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:56:49,867 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.86秒, 情绪类别: negative, 标签值: 1
2025-10-28 15:57:39,844 - 视频名称: Neutral_1.mp4, 播放时长: 33.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 15:58:28,023 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.67秒, 情绪类别: positive, 标签值: 3
2025-10-28 15:59:19,127 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.59秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:00:07,331 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.67秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:00:54,685 - 视频名称: Neutral_4.mp4, 播放时长: 30.86秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:01:42,880 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.67秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:02:30,554 - 视频名称: Neutral_2.mp4, 播放时长: 31.17秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:03:25,877 - 视频名称: SEED-IV-Negative3.mp4, 播放时长: 38.81秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:04:14,275 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.87秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:39:38,807 - 视频名称: sims_Positive_3.mp4, 播放时长: 36.10秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:40:26,197 - 视频名称: Neutral_4.mp4, 播放时长: 30.88秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:41:14,465 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.76秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:42:02,885 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.88秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:42:50,976 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.56秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:43:40,081 - 视频名称: SEED-IV-Neutral5.mp4, 播放时长: 32.58秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:44:27,459 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.87秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:45:15,198 - 视频名称: Neutral_2.mp4, 播放时长: 31.26秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:46:03,457 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.75秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:46:51,451 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.47秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:47:46,783 - 视频名称: SEED-IV-Negative3.mp4, 播放时长: 38.81秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:48:35,657 - 视频名称: Neutral_3.mp4, 播放时长: 32.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:49:19,604 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.44秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:50:10,654 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.58秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:50:59,621 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 32.48秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:51:47,556 - 视频名称: SEED-IV-Neutral2.mp4, 播放时长: 31.46秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:52:37,224 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.16秒, 情绪类别: positive, 标签值: 3
2025-10-28 16:53:25,794 - 视频名称: Neutral_5.mp4, 播放时长: 32.07秒, 情绪类别: neutral, 标签值: 2
2025-10-28 16:54:17,168 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.88秒, 情绪类别: negative, 标签值: 1
2025-10-28 16:55:06,883 - 视频名称: Neutral_1.mp4, 播放时长: 33.27秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:06:22,451 - 视频名称: sims_Positive_4.mp4, 播放时长: 31.65秒, 情绪类别: positive, 标签值: 3
2025-10-28 17:07:10,122 - 视频名称: Neutral_2.mp4, 播放时长: 31.16秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:08:01,510 - 视频名称: SEED-IV-Negative2.mp4, 播放时长: 34.88秒, 情绪类别: negative, 标签值: 1
2025-10-28 17:08:50,373 - 视频名称: Neutral_3.mp4, 播放时长: 32.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:09:38,651 - 视频名称: sims_Positive_5.mp4, 播放时长: 31.76秒, 情绪类别: positive, 标签值: 3
2025-10-28 17:10:28,491 - 视频名称: Neutral_1.mp4, 播放时长: 33.38秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:11:16,717 - 视频名称: SEED-IV-Negative5.mp4, 播放时长: 31.68秒, 情绪类别: negative, 标签值: 1
2025-10-28 17:12:05,377 - 视频名称: Neutral_5.mp4, 播放时长: 32.06秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:12:54,956 - 视频名称: sims_Positive_1.mp4, 播放时长: 33.07秒, 情绪类别: positive, 标签值: 3
2025-10-28 17:13:46,065 - 视频名称: SEED-IV-Neutral1.mp4, 播放时长: 34.58秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:14:35,062 - 视频名称: SEED-IV-Negative1.mp4, 播放时长: 32.47秒, 情绪类别: negative, 标签值: 1
2025-10-28 17:15:23,539 - 视频名称: SEED-IV-Neutral4.mp4, 播放时长: 31.97秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:16:07,574 - 视频名称: sims_Positive_2.mp4, 播放时长: 27.46秒, 情绪类别: positive, 标签值: 3
2025-10-28 17:16:55,623 - 视频名称: SEED-IV-Neutral3.mp4, 播放时长: 31.57秒, 情绪类别: neutral, 标签值: 2
2025-10-28 17:17:42,957 - 视频名称: SEED-IV-Negative4.mp4, 播放时长: 30.87秒, 情绪类别: negative, 标签值: 1
2025-10-28 17:18:30,387 - 视频名称: Neutral_4.mp4, 播放时长: 30.88秒, 情绪类别: neutral, 标签值: 2
